GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22200477,1610612759,SAS,San Antonio,1629641,Romeo Langford,Romeo,F,,18:06,1,1,1,0,0,0,0,0,0,1,1,2,0,1,0,2,5,2,-2
22200477,1610612759,SAS,San Antonio,1631110,Jeremy Sochan,Jeremy,F,,31:01:00,7,14,0.5,2,4,0.5,7,10,0.7,6,3,9,6,1,0,2,1,23,-14
22200477,1610612759,SAS,San Antonio,1627751,Jakob Poeltl,Jakob,C,,21:42,6,9,0.667,0,0,0,1,1,1,1,3,4,1,1,0,2,4,13,-4
22200477,1610612759,SAS,San Antonio,1630170,Devin Vassell,Devin,G,,30:20:00,4,13,0.308,1,6,0.167,1,1,1,0,9,9,5,3,0,2,1,10,-18
22200477,1610612759,SAS,San Antonio,1630200,Tre Jones,Tre,G,,27:44:00,7,12,0.583,1,3,0.333,4,4,1,0,2,2,3,0,0,2,2,19,0
22200477,1610612759,SAS,San Antonio,1628380,Zach Collins,Zach,,,18:04,2,6,0.333,0,0,0,2,2,1,1,1,2,2,0,0,0,3,6,-13
22200477,1610612759,SAS,San Antonio,203926,Doug McDermott,Doug,,,16:55,2,8,0.25,1,5,0.2,0,0,0,1,3,4,1,0,0,1,0,5,-10
22200477,1610612759,SAS,San Antonio,1626196,Josh Richardson,Josh,,,21:20,5,11,0.455,2,5,0.4,2,3,0.667,1,2,3,3,0,0,1,2,14,-2
22200477,1610612759,SAS,San Antonio,1631103,Malaki Branham,Malaki,,,21:10,4,6,0.667,1,3,0.333,0,0,0,0,0,0,0,0,0,1,2,9,-6
22200477,1610612759,SAS,San Antonio,1628966,Keita Bates-Diop,Keita,,,9:16,1,3,0.333,0,0,0,2,2,1,1,0,1,0,0,0,0,1,4,-1
22200477,1610612759,SAS,San Antonio,1629646,Charles Bassey,Charles,,,8:14,0,2,0,0,0,0,0,0,0,2,2,4,0,1,0,3,1,0,8
22200477,1610612759,SAS,San Antonio,1626169,Stanley Johnson,Stanley,,,12:37,4,5,0.8,1,2,0.5,3,4,0.75,0,4,4,2,1,2,1,1,12,13
22200477,1610612759,SAS,San Antonio,1629676,Isaiah Roby,Isaiah,,,3:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
22200477,1610612759,SAS,San Antonio,203476,Gorgui Dieng,Gorgui,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22200477,1610612740,NOP,New Orleans,1630530,Trey Murphy III,Trey,F,,27:47:00,5,8,0.625,1,3,0.333,4,5,0.8,0,4,4,1,2,0,0,4,15,7
22200477,1610612740,NOP,New Orleans,1630230,Naji Marshall,Naji,F,,24:46:00,3,6,0.5,1,2,0.5,0,0,0,2,3,5,2,0,0,2,3,7,3
22200477,1610612740,NOP,New Orleans,202685,Jonas Valanciunas,Jonas,C,,25:50:00,6,14,0.429,0,2,0,4,4,1,5,5,10,1,1,0,2,5,16,10
22200477,1610612740,NOP,New Orleans,1630529,Herbert Jones,Herbert,G,,34:26:00,4,8,0.5,2,4,0.5,2,2,1,1,2,3,2,2,1,2,2,12,16
22200477,1610612740,NOP,New Orleans,203468,CJ McCollum,CJ,G,,37:11:00,14,27,0.519,7,14,0.5,5,5,1,1,7,8,9,1,2,5,1,40,23
22200477,1610612740,NOP,New Orleans,1626195,Willy Hernangomez,Willy,,,22:10,3,6,0.5,0,1,0,7,7,1,4,3,7,5,1,2,4,5,13,-1
22200477,1610612740,NOP,New Orleans,1630700,Dyson Daniels,Dyson,,,19:40,1,4,0.25,0,1,0,0,0,0,0,3,3,1,0,0,1,2,2,0
22200477,1610612740,NOP,New Orleans,1630631,Jose Alvarado,Jose,,,24:55:00,4,11,0.364,1,4,0.25,0,0,0,1,1,2,3,3,0,0,1,9,10
22200477,1610612740,NOP,New Orleans,1629637,Jaxson Hayes,Jaxson,,,12:26,3,4,0.75,0,1,0,0,0,0,1,2,3,0,0,1,1,1,6,-9
22200477,1610612740,NOP,New Orleans,1628984,Devonte' Graham,Devonte',,,8:50,1,2,0.5,1,2,0.5,3,4,0.75,1,0,1,1,0,0,0,0,6,-8
22200477,1610612740,NOP,New Orleans,202066,Garrett Temple,Garrett,,,1:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6
22200478,1610612764,WAS,Washington,1630557,Corey Kispert,Corey,F,,37:20:00,4,8,0.5,2,5,0.4,2,2,1,0,2,2,2,1,0,0,1,12,-3
22200478,1610612764,WAS,Washington,1628398,Kyle Kuzma,Kyle,F,,33:49:00,8,18,0.444,2,5,0.4,3,4,0.75,1,4,5,2,1,0,2,1,21,-21
22200478,1610612764,WAS,Washington,1629655,Daniel Gafford,Daniel,C,,19:42,6,9,0.667,0,0,0,1,1,1,1,1,2,0,0,1,1,3,13,-11
22200478,1610612764,WAS,Washington,203078,Bradley Beal,Bradley,G,,31:05:00,13,20,0.65,0,3,0,4,4,1,1,4,5,5,0,0,2,2,30,4
22200478,1610612764,WAS,Washington,1628420,Monte Morris,Monte,G,,30:16:00,2,5,0.4,1,3,0.333,0,1,0,0,4,4,4,0,0,2,1,5,3
22200478,1610612764,WAS,Washington,201959,Taj Gibson,Taj,,,25:02:00,3,3,1,0,0,0,0,0,0,0,4,4,1,1,0,0,3,6,-3
22200478,1610612764,WAS,Washington,1629060,Rui Hachimura,Rui,,,23:35,3,4,0.75,0,0,0,1,1,1,0,7,7,1,1,0,1,1,7,-4
22200478,1610612764,WAS,Washington,1630692,Jordan Goodwin,Jordan,,,15:45,5,9,0.556,1,2,0.5,0,0,0,0,5,5,2,0,1,2,2,11,-9
22200478,1610612764,WAS,Washington,203115,Will Barton,Will,,,13:53,1,5,0.2,1,3,0.333,1,2,0.5,0,2,2,2,0,0,0,1,4,-20
22200478,1610612764,WAS,Washington,1629653,Devon Dotson,Devon,,,3:11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8
22200478,1610612764,WAS,Washington,1631098,Johnny Davis,Johnny,,,3:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
22200478,1610612764,WAS,Washington,1630264,Anthony Gill,Anthony,,,3:11,1,1,1,0,0,0,1,2,0.5,0,1,1,0,0,0,0,0,3,8
22200478,1610612762,UTA,Utah,1628374,Lauri Markkanen,Lauri,F,,29:15:00,7,14,0.5,4,9,0.444,3,3,1,0,5,5,1,0,0,1,4,21,22
22200478,1610612762,UTA,Utah,1629020,Jarred Vanderbilt,Jarred,F,,28:22:00,1,1,1,1,1,1,0,0,0,0,4,4,1,0,0,1,1,3,-7
